beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
21,21,945,2,6.025938e-39,4.1347232e-26,1.0,1.0860911e-36,8.5045824e-24,1.1681017e-23,2.437377e-30,1.5338439e-29,1.9185938e-22,6.439064e-33,2.4762835e-27,2.0341352e-24,6.18815e-29,1.6819812e-25,2.7423376e-25,1.4267841e-30,2.5701836e-30
22,22,960,2,1.124078e-36,2.6295738e-26,1.0,1.226e-41,6.565396e-23,3.1497613e-24,2.6414317e-30,4.142184e-29,2.5538727e-22,1.3376966e-33,5.6908526e-32,2.1216795e-24,4.287733e-28,6.851501e-25,4.5751504e-26,1.9039315e-30,5.9339226e-30
23,23,937,2,1.7209229e-25,6.3159554e-14,0.9999047,2.8490312e-13,1.0870707e-11,1.5422066e-11,1.71638e-17,5.5773736e-18,6.684236e-11,3.12714e-20,9.352669e-05,3.8430613e-12,1.7406975e-17,8.958682e-15,2.4019347e-14,5.8823725e-17,2.4255012e-18
24,24,1006,2,3.851123e-32,1.1890922e-24,1.0,2.930387e-37,3.9714854e-20,1.0162834e-21,5.0217867e-28,1.419667e-29,5.2176317e-20,2.2057847e-32,1.1798541e-21,2.9783172e-22,3.3799704e-26,7.15762e-23,1.5377555e-24,6.997853e-28,9.061079e-28
25,25,544,3,3.913203e-24,4.077637e-15,0.0,1.0,6.1063844e-13,1.9529818e-15,6.3377576e-19,1.1796378e-14,3.2346322e-16,6.997543e-18,5.9965995e-12,9.672862e-17,1.0149985e-18,6.780469e-17,1.1783906e-16,2.299117e-19,6.77323e-17
26,26,27,10,7.9593994e-20,5.7522964e-08,0.0,0.0048776977,2.1543133e-06,8.269289e-08,6.494196e-11,1.2985516e-15,8.418831e-06,6.151229e-12,0.9951101,1.4438044e-10,1.6438863e-14,4.728901e-13,5.3423058e-11,2.0213711e-10,4.4871162e-13
27,27,28,10,1.1274503e-19,1.339573e-07,0.0,0.002294492,1.6923651e-07,6.044434e-06,1.1948328e-13,5.410379e-17,5.5218366e-06,3.9848297e-10,0.99769473,1.6896075e-11,1.5286924e-13,1.8247541e-13,3.053201e-10,1.3435387e-08,1.2284768e-10
28,28,32,3,8.078026e-26,1.9950919e-13,0.0,0.9999466,4.147849e-12,1.3644541e-12,7.451687e-18,3.897882e-19,5.0125568e-15,1.8962338e-15,5.348848e-05,1.847797e-16,5.014344e-19,8.148128e-18,4.2661602e-15,2.1516157e-17,1.2322229e-16
29,29,30,3,1.0992682e-26,6.4379786e-12,0.0,0.99960333,7.433489e-10,2.0686148e-15,3.6261027e-15,6.9862973e-15,1.0219484e-12,2.0340836e-14,0.000396693,3.4598548e-14,4.5086775e-16,5.285214e-15,1.7926712e-13,2.4994692e-19,3.2321918e-15
30,30,31,3,5.4212444e-25,1.888003e-10,0.0,0.9997444,8.4419693e-10,4.1252798e-14,1.2328572e-17,1.8478695e-14,1.9326128e-11,9.951083e-12,0.00025618778,5.2210925e-14,5.819575e-14,4.2693836e-15,6.774352e-14,4.5803207e-18,9.813108e-13
