source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79
10,8,0008,0,column,2,1.1017273508556328e-20,1.851861457594748e-31,0.9999313354492188,0.0,0.0,1.6338705315385034e-22,0.0,4.343576823898349e-40,2.1509931427385942e-42,0.0,1.765869092196226e-05,2.068201133132407e-18,0.0,5.217372745391913e-05,4.075220265847636e-18,0.0,7.391561016414135e-16,0.0,0.0,1.0560520381238946e-25,1.2140421997710626e-28,4.1859448717503275e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,9,0009,0,column,2,3.1075414623641307e-21,2.777127214747992e-35,1.0,0.0,0.0,3.919878400016865e-33,0.0,2.042197786625045e-24,1.6015300018921902e-40,0.0,3.4414660655740156e-14,6.912573625620722e-15,1.401298464324817e-45,3.060140363331243e-09,7.730054142391545e-31,4.754787405354803e-35,7.31593980177765e-29,0.0,0.0,1.423657433424541e-23,2.8870658473709743e-32,1.9437495076557397e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10,0010,0,column,2,3.5689039228833806e-23,3.541081219348813e-42,1.0,0.0,0.0,1.2973441768217453e-29,0.0,1.2674588721140736e-24,1.1210387714598537e-44,0.0,1.0880414624825363e-11,1.7933234321119012e-18,0.0,1.5316374835094848e-09,6.5527739732046485e-34,2.802596928649634e-45,4.861213636384133e-21,0.0,0.0,2.211437441433219e-25,6.319802637612584e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,11,0011,0,column,2,5.9939285623909374e-18,7.868156390901291e-31,1.0,0.0,0.0,2.2072245297688862e-24,0.0,9.934483618968818e-32,7.567011707354012e-44,0.0,3.0005942175392875e-11,6.511747636544193e-22,0.0,2.5661159863688e-09,4.0397961386820625e-23,0.0,6.73457367516173e-20,0.0,0.0,5.524371965144951e-26,4.0021296097203136e-28,9.780222501908628e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,12,0012,0,column,13,1.2055338334510626e-33,6.608275086346188e-19,5.875693161183637e-12,0.0,0.0,2.5987631624928194e-31,0.0,0.0,4.4624898984342944e-33,0.0,7.044430816449676e-09,8.471124734093965e-34,0.0,1.0,4.261707410589797e-28,0.0,4.414090162623174e-42,0.0,0.0,5.513966771303324e-35,8.35844568067446e-29,9.80908925027372e-45,0.0,0.0,8.057466169867698e-43,8.407790785948902e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,13,0013,0,column,23,1.778219715573015e-12,0.0,3.3633472182574483e-22,0.0,0.0,7.724391537882332e-40,0.0,8.452475589686567e-32,0.0,6.640452143265478e-39,1.401298464324817e-45,8.57762580480957e-25,0.0,3.929240893966787e-42,2.5415350247459207e-41,0.0,0.0,0.0,0.0,4.500757846113718e-15,8.102564276098976e-33,0.0,4.844288791170893e-40,1.0,0.0,2.723519208138474e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,14,0014,0,column,23,0.0007818447193130851,5.997557427310217e-43,2.8486089355406197e-12,0.0,0.0,2.742784183016009e-35,0.0,2.7169597664371475e-19,0.0,3.075647819985822e-31,3.532777124649224e-39,5.271289047620309e-12,5.002635517639597e-43,1.667263511555203e-39,1.9940140261738858e-33,7.088003050696931e-39,0.0,0.0,0.0,2.8759563974745106e-07,1.0379773104201549e-29,0.0,1.932788908006536e-34,0.9992182850837708,0.0,1.899222072364847e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15,0015,0,column,0,0.9999579787254333,6.682512116672188e-41,2.7439253126593233e-12,0.0,0.0,5.13591483066434e-36,0.0,5.740972078181276e-20,0.0,6.849197911622344e-26,0.0,8.855679384245363e-11,0.0,3.404810885198713e-37,2.7289040642407173e-27,2.1425853519526453e-42,0.0,0.0,0.0,4.2688025132520124e-05,4.146792156079753e-33,1.5830995639700045e-38,2.0474303261851737e-33,7.743570229479246e-09,0.0,1.3740117465111893e-28,5.6192068419425165e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16,0016,0,column,0,0.9996376633644104,9.80908925027372e-45,0.00036397180519998074,0.0,0.0,1.4481362536028553e-30,0.0,5.3315729280475064e-20,0.0,4.701815772815912e-34,5.244322284894134e-31,4.596093727826656e-09,6.3616708202803775e-40,3.6590602424288736e-31,8.723952013328181e-31,0.0,8.868096772998894e-31,0.0,0.0,4.612407955573161e-10,2.857152436511325e-34,1.9484774886743716e-40,7.047914704229527e-38,2.2064858740122872e-07,0.0,2.0113560575973685e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,17,0017,0,column,0,0.9659261107444763,1.4335283290042879e-42,0.03407418727874756,0.0,0.0,2.724459920708733e-29,0.0,4.442208560581407e-19,0.0,3.053768964294984e-27,7.538972648618148e-27,3.3509819918897676e-11,1.6815581571897805e-44,4.400925306681977e-31,1.199624784503877e-26,0.0,1.7063319490169964e-18,0.0,0.0,3.739869742017121e-13,2.3504490902016363e-23,1.4699041896467497e-29,2.1597425416132496e-30,2.5932978824121577e-15,0.0,1.457756779452464e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
