node_id,x,y,z,is_support
0,36.42359999999985,-9.143999999999892,21.908260412276604,0
1,36.42359924316406,-9.144000053405762,23.85059928894043,0
2,36.42359924316406,-9.144000053405762,27.203399658203125,0
3,0.0,-6.197599999999852,0.0,1
4,4.571999999999889,-33.90899999999982,0.0,1
5,21.6407999999999,1.1368683772161603e-13,0.0,1
6,43.738799999999856,1.1368683772161603e-13,0.0,1
7,43.738799999999856,-6.197599999999852,0.0,1
8,30.175199999999904,-33.90899999999982,0.0,1
9,21.6407999999999,-33.90899999999982,0.0,1
10,13.106399999999894,-33.90899999999982,0.0,1
11,4.571999999999889,-27.20339999999976,0.0,1
12,4.571999999999889,-23.012399999999843,0.0,1
13,4.571999999999889,-14.935199999999838,0.0,1
14,13.106399999999894,-27.203399999999817,0.0,1
15,30.175199999999904,-23.012399999999843,0.0,1
16,30.175199999999904,-27.203399999999817,0.0,1
17,38.70959999999991,-27.20339999999976,0.0,1
18,38.70959999999991,-23.012399999999843,0.0,1
19,38.70959999999991,-14.935199999999838,0.0,1
20,21.6407999999999,-27.20339999999976,0.0,1
21,13.106399999999894,-14.935199999999838,0.0,1
22,13.106399999999894,-23.012399999999843,0.0,1
23,30.175199999999904,-14.935199999999838,0.0,1
24,38.70959999999991,-33.90899999999982,0.0,1
25,1.8287999999997737,5.684341886080802e-14,21.908260412276604,0
26,1.8287999999997737,-5.684341886080802e-14,0.0,1
27,1.8287999629974365,-1.2655455737455457e-14,3.733799934387207,0
28,1.8287999629974365,-3.292459756438007e-14,7.086599826812744,0
29,1.8287999999997737,0.0,15.164481538219434,0
30,1.8287999629974365,-2.0074799434539534e-14,17.145000457763672,0
31,1.8287999629974365,-5.944396755700691e-15,20.497800827026367,0
32,1.8287999999997737,0.0,8.420702664162263,0
33,1.8287999629974365,-2.842170943040401e-14,10.439399719238281,0
34,1.8287999629974365,-2.842170943040401e-14,13.792200088500977,0
35,1.8287999999997737,-6.197599999999909,21.908260412276604,0
36,1.8287999629974365,-6.1975998878479,23.85059928894043,0
37,1.8287999629974365,-6.1975998878479,27.203399658203125,0
38,1.8287999629974365,-6.1975998878479,5.551115123125783e-17,1
39,1.8287999629974365,-6.1975998878479,3.733799934387207,0
40,1.8287999629974365,-6.1975998878479,7.086599826812744,0
