source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
10,8,0008,0,column,23,0.0,9.13958926240994e-16,7.537888675248215e-32,2.14398665041697e-43,0.0,7.571346327672757e-10,0.0,4.430619524803445e-25,1.9723120862719273e-23,0.0,0.0,0.0,0.0,2.3068708934170354e-37,2.0551256132601234e-30,5.11487464987011e-22,0.0,0.0,5.495234725090712e-28,0.0,6.484744616091524e-17,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,9,0009,0,column,23,0.0,2.061428805433252e-09,2.3876417581213388e-26,7.006492321624085e-45,0.0,3.230497466755189e-11,0.0,6.327555563583658e-29,8.768659354874135e-31,0.0,0.0,0.0,0.0,6.081088147327124e-22,1.0056785353897297e-27,3.232828400584131e-33,0.0,0.0,1.1708131938576655e-17,0.0,1.1211449384975966e-13,0.0,0.0,1.0,9.34385816011788e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10,0010,0,column,23,0.0,2.1358681578931282e-07,5.07488518432584e-26,0.0,0.0,1.5899990657430862e-08,0.0,2.2201022896161666e-24,5.2605458701770076e-33,0.0,0.0,0.0,0.0,1.8990140024124859e-22,2.176518852427281e-27,2.006860628269316e-22,0.0,0.0,1.0918784085699965e-20,0.0,4.175283035978694e-11,0.0,0.0,1.0,1.9112800209388694e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,11,0011,0,column,23,0.0,1.194227225789768e-12,2.0006925888057486e-29,0.0,0.0,3.92233954463108e-14,0.0,5.238859291199277e-25,4.4784658184127254e-27,0.0,0.0,0.0,0.0,1.8952131015058987e-31,1.2630207649280174e-28,3.5810975667764353e-22,0.0,0.0,2.643237135496293e-29,0.0,7.998370655266788e-17,0.0,0.0,1.0,2.1019476964872256e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,12,0012,0,column,20,0.0,2.3195027391290796e-18,1.9211931723511624e-30,5.2055297958226474e-33,0.0,6.937842661480786e-11,0.0,1.2079601476734267e-25,1.7922211024401854e-27,0.0,0.0,1.0291871811311608e-32,0.0,2.87790270812245e-40,3.3030143429849767e-38,7.440894845564779e-43,0.0,0.0,6.990240622554232e-38,0.0,1.0,0.0,0.0,9.781100374084417e-09,2.7476850416656653e-35,0.0,0.0,2.0289701172399083e-35,0.0,0.0,0.0,1.2604259297062432e-40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,13,0013,0,column,29,0.0,3.7537510481384095e-19,3.888074931457375e-11,3.243892916545003e-28,0.0,4.3268352308853675e-37,0.0,3.6310127121193836e-32,1.7465082378756688e-35,0.0,0.0,0.0,0.0,5.494635113765546e-25,4.1146017792925704e-06,1.0080941152352734e-41,8.386278653877567e-33,9.91979182895538e-42,3.8168309147085853e-22,0.0,0.0,0.0,0.0,2.76107645515169e-40,2.6624670822171524e-44,0.0,0.0,0.0,0.0,0.9999961853027344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,14,0014,0,column,14,0.0,3.1965155349034102e-12,1.2178408042018418e-06,5.659438510665596e-25,0.0,2.848417944104639e-31,0.0,1.218058342988726e-30,8.676397154266795e-30,0.0,0.0,0.0,0.0,1.8660521228003237e-15,1.0,1.1210387714598537e-44,1.892719437177423e-32,7.0595152134365935e-37,8.243845737348002e-14,0.0,0.0,0.0,0.0,2.2789717773068712e-27,1.401298464324817e-45,6.190095836308447e-41,0.0,0.0,0.0,4.480835964561009e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15,0015,0,column,14,0.0,3.825589101467177e-16,5.796846380690113e-05,2.2000432392887957e-26,0.0,3.091626193932872e-36,0.0,2.2900161035410107e-32,2.7127351890228065e-26,1.1210387714598537e-44,0.0,0.0,8.407790785948902e-45,1.2410166642633637e-15,0.9999427199363708,3.0956084375399534e-41,1.9599140738166836e-31,6.217761940311135e-33,1.0890619054357634e-13,0.0,0.0,0.0,5.345900392057533e-39,1.2014372290262912e-28,0.0,8.671142703013403e-36,0.0,0.0,0.0,1.802637484717271e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16,0016,0,column,14,0.0,9.461498393648071e-07,1.5842276102073782e-10,5.7103388862714166e-39,0.0,1.5820258355409095e-22,0.0,1.929664900328386e-27,2.9513451209575543e-28,0.0,0.0,0.0,1.8216880036222622e-44,1.533281465186079e-15,1.0,6.707655002959109e-27,6.14482210258288e-36,3.0861791001735117e-38,3.842946100229838e-11,0.0,0.0,0.0,0.0,6.816594919469018e-17,0.0,0.0,0.0,0.0,0.0,2.399403493598305e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,17,0017,0,column,14,0.0,0.0006146938540041447,6.645206086786093e-12,2.4751188585230274e-37,0.0,3.2346413953227804e-18,0.0,2.7320956968556284e-24,3.8974097035180645e-25,0.0,0.0,0.0,0.0,1.6753316941196805e-13,0.9993860125541687,3.9558382511215325e-19,1.0704371593977728e-27,6.165713243029195e-44,2.3285260438571376e-12,2.8362779555979843e-36,0.0,0.0,0.0,4.029197733098078e-20,2.207873248704003e-39,0.0,0.0,0.0,0.0,3.7340404573335385e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
