beam_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
12,0.54736024,-0.70843667,1.2826368,-1.1807474,0.030390795,0.24855614,-1.2747972,-0.15962216,0.67743766,-0.37180862,-0.58307606,-0.56799495,0.8018363,1.5046383,-1.0609257,1.5928186,-1.1685613,-1.9588637,-0.97372603,1.8440341,-1.4942532,-0.34030473,1.0879942,-0.37843132,-0.3662654,1.0877514,-0.68382674,-0.3270419,-0.5889374,1.3174226,0.08062747,-0.68677884
13,1.7003217,-0.5958149,1.2785842,-1.3726907,0.041822486,1.2210339,-1.5635061,-1.3571324,1.2724739,-0.026941659,-2.24054,2.318791,-0.34437856,0.369379,0.08756013,0.35826582,-0.61438304,-1.0315375,-1.018575,-0.3614293,0.65299934,0.45841473,0.6149787,0.1421515,0.7383079,0.24259257,-0.28317288,1.0349164,0.2798142,1.2068483,0.79447013,0.17728484
14,0.9869088,0.022477752,1.4823165,-1.4836881,-0.28520626,1.5348876,-1.5863297,-0.5297666,1.6359836,-0.65057844,-1.9421203,0.667206,0.0023280664,1.1241287,-0.13883387,1.6945915,0.19277006,-1.0315323,-0.8881089,0.12732638,-0.7471035,0.5999635,1.2365878,0.21375552,0.57180727,0.80695045,-0.35538775,-0.85627264,0.2629161,1.4011688,0.9448859,-0.22410086
15,1.0655235,-0.43718728,0.19243808,-1.6660643,-0.69991213,0.5472979,-2.299937,-0.8629667,0.31877676,0.19280858,-2.2576578,2.0087254,-0.7045413,0.4509635,-0.5565224,0.22043166,0.7052291,-1.4976903,-0.4656805,0.104054235,0.355789,0.52849114,1.033112,-0.19739684,1.0616555,1.178077,0.20935315,-0.63078094,-0.67323697,0.9022305,1.5709994,0.30107108
16,0.5468741,-0.8472554,0.93194836,-1.4532993,-1.0172224,1.3116174,-1.5649027,-1.2033314,0.12943222,0.61766785,-1.7096175,2.6741464,-0.48856303,0.33907446,-0.7392613,0.3083141,0.7342283,-1.5951892,-0.7512632,-0.1637259,0.12730595,0.23036924,0.81437904,0.12658161,0.2758183,0.5003218,1.1809362,-0.3432396,-0.70737743,1.460783,1.3614522,0.49708346
17,-0.13460487,-0.84382707,1.485597,-1.6160533,0.08325571,0.5967066,-1.3095889,0.6513211,0.687304,0.73532903,-0.7857159,1.7161949,0.29911274,1.6903728,-0.752629,1.3248883,0.320184,-1.8155447,-0.91779524,-0.005939798,0.6098107,-0.53882086,0.9569982,1.4711785,-0.7567288,1.0004548,0.82657236,-0.061186697,-0.21830177,1.5141356,1.1567248,0.68597746
18,0.78044254,0.03812958,1.6132576,-1.9812696,0.5638485,0.84056824,-1.392671,-0.6014859,1.2641307,-0.6533697,-1.3657817,0.048672143,0.808361,1.0462663,-0.5854057,1.6888713,-0.37664735,-1.4369626,-0.9510919,0.9244148,-1.36661,0.5372571,1.5241326,-0.03575668,0.5009695,1.0643742,-0.39006734,-0.3639406,-0.3674048,1.23271,0.59112924,-0.67401946
19,0.51598716,-1.1358229,-0.10950423,-0.20138863,-0.47825915,0.39472827,-1.1159217,-0.014000498,0.19020797,0.25957847,-0.079091,1.2530476,-0.19979721,1.6605755,-1.7358298,0.90574175,-0.34362954,-2.5726223,-1.1425523,1.5187981,-0.30558944,-0.47618526,0.28358904,-0.47755823,-0.64623463,1.2643155,-0.015386561,-0.69713426,-1.8615175,1.4724106,0.017267782,-0.17515276
20,0.69159627,-0.4299934,1.1865993,-0.66455996,0.30754456,0.87436664,-1.0583647,-0.20700568,1.090541,-0.12164846,0.42255545,0.15943232,0.8675353,1.5045235,-1.133969,1.1098636,-1.1650331,-2.4631042,-1.2733958,1.5211196,-1.1645557,-0.17628634,0.9884866,-1.1784806,-0.65308577,1.2498963,-0.7930603,0.009743353,-1.0089494,1.1423947,-0.029480265,-0.3237572
21,0.61331195,-1.045693,0.57208025,-1.0281318,-0.17459004,-0.22450472,-1.0995193,-1.1858969,0.29101953,1.0140274,-0.55987316,2.9101727,0.27875653,0.26949155,-1.1636797,0.75108963,0.049023163,-2.3195148,-0.3827978,0.4769995,1.1032702,-0.88444597,0.074287176,0.41696137,-1.3205105,0.72957635,-0.2671309,0.21491143,-0.65548676,2.0144532,0.60110563,0.43536127
22,-0.13131233,-0.6122662,0.8948331,-1.5322214,-0.9579528,0.041725606,-0.7296538,0.040644675,0.14392266,1.2462779,-0.26001963,0.91898775,0.2792781,1.2305121,-0.4203264,1.0495641,0.43061778,-1.9826964,-0.3178581,0.832712,-0.6185138,0.39473873,1.3290356,0.7116807,-0.4310106,1.8343424,1.2489188,-0.7822776,-1.9763675,1.5971539,0.56383747,0.7656582
23,0.78658795,0.58627105,-1.1638167,0.107594475,-0.37100777,-0.49638954,0.58532584,1.3531773,-1.0258671,0.10773728,-1.5724945,-1.4320021,-0.26825368,1.5360938,-1.1992724,0.5627372,-1.6378322,-0.009855053,1.5861145,-0.46323898,0.80111986,0.13946673,0.32098094,0.32637355,1.413135,1.2594281,0.084244154,-1.1082865,0.6828142,-0.6612918,2.041367,-1.187993
24,0.73292017,0.8516037,-1.5569333,0.053593125,-0.20621662,0.016693301,0.21606627,2.0736654,-0.9232185,0.79609007,-1.1935123,-1.0745789,-0.39259467,1.4029026,-0.6224574,0.4808661,-1.8038607,-0.25227734,2.1661177,0.13596009,1.4945034,0.27190635,0.5423134,0.051238976,0.73902714,1.3780687,-0.030696668,-1.317434,0.60184586,-0.57954204,1.2940956,-0.7700024
25,1.2910248,-0.8564709,-0.3920081,-0.79146343,0.3523844,-0.19488302,-0.6017561,0.26705486,1.3831481,-0.5898355,-0.63920677,-0.82637113,-0.94163024,-0.85533977,-0.28643453,-0.22031562,0.27530393,1.9911925,0.75670975,-0.76321656,-0.16880102,1.1387722,1.9905987,-2.4423199,1.8989652,-0.48362148,-0.16799152,-0.5790673,-1.3698508,-0.25454247,0.2791847,-1.0907068
26,0.6709318,-0.015841592,0.115953475,-1.0607315,1.1757411,0.5187249,1.1732349,0.04290684,1.4342934,0.4759091,-0.8862851,0.46620226,0.0089578675,-1.118358,1.1156392,-0.53116494,0.29321373,1.4712951,-0.24596481,-1.4230946,0.13401909,1.3814493,2.7157671,-0.26303795,2.1850336,-0.44565704,0.25235665,0.6994568,-1.1314644,-0.15647537,0.7455962,0.0082555935
27,0.41990536,0.7430184,0.043963738,-1.6277014,0.7411313,1.5782954,-0.4014192,0.21659823,1.3536549,0.28809115,-1.2034146,0.45463815,-0.15614207,-0.42343912,0.96785533,-1.0570662,-0.94331294,0.95652777,-0.021418195,-1.449547,-0.59167916,0.49433193,2.9269588,-0.997693,0.97831833,0.30132076,0.11519238,1.9774323,-0.15938658,-0.88773257,0.58669364,-0.10432059
28,1.1512268,-0.26653686,1.1539327,-1.688947,0.4957549,0.82552576,0.9615747,-0.45991942,0.55626744,1.2091243,-0.80912507,0.46407303,0.8353228,-0.8132244,-0.0838113,-1.9356024,-0.06205989,0.9264681,0.15307112,-1.5690478,-0.5512827,-0.37362596,1.6532252,-1.2926456,-0.50970757,-1.2223498,2.0946126,0.17010416,0.40835485,0.20599343,0.4743875,-1.1314758
29,1.5026859,-0.6164706,0.36457518,1.3881041,1.0344443,0.58810455,0.52282333,1.2449008,0.86156267,-1.7739785,-0.17978898,-1.2018008,-1.31901,0.47329894,-0.3246599,-0.78689176,-0.47138044,1.9080452,-1.3203977,-0.60949135,-0.49214345,0.93133324,0.9513927,-0.19333813,0.31473088,-0.2233634,2.084485,0.3344046,-1.7705528,0.19454029,0.45567828,-0.17168292
30,0.10783125,-1.3727337,1.0789518,-0.18673816,0.50079405,1.2554109,1.489728,-0.0076498203,0.52013403,-0.56036025,-0.5989323,0.541849,0.6265732,-0.31139877,-0.44784564,-0.9864081,0.27535206,0.7858239,-0.799889,-1.549583,-1.0428939,0.021236507,0.10717121,-0.068408996,-2.0282295,-1.7289816,2.2260804,1.7076627,0.1969609,0.60133564,-0.25828797,-0.55128455
31,1.1816331,1.4259834,0.43117508,-0.1261692,0.4078148,2.0652068,1.6927836,-0.8282368,0.3066142,1.2413838,-1.4491594,0.9162857,1.056729,-1.0286031,-0.12909095,-1.0837765,0.22396278,1.3924494,-0.684662,-2.1563778,0.4290719,1.1944621,0.30818707,-1.3650672,0.25296345,-0.6346433,0.18754336,0.046417322,-0.021412173,0.011664814,0.92801845,-0.08179973
32,1.1900256,1.4151969,0.44313177,-0.13736281,0.40878925,2.0528154,1.7176057,-0.8206783,0.29236183,1.2492871,-1.4393252,0.9038354,1.0575532,-1.0331898,-0.15417345,-1.0931183,0.2240262,1.4126424,-0.69562083,-2.1529734,0.4393835,1.1774136,0.3051451,-1.3493,0.21836476,-0.62801635,0.21405797,0.039570842,-0.014754191,0.019908134,0.9324564,-0.08091866
33,-0.64974576,-0.14667647,-0.6275192,0.7365148,-1.4686158,-1.3267742,1.0728317,-0.8342014,-0.6776694,0.3527118,-0.742399,-1.5009564,0.6521321,1.4221314,-1.7421471,-0.77735883,0.4304883,1.4840335,-1.7266126,0.5687772,-0.17413537,0.51080686,-0.8673267,1.6419818,1.7151304,-0.4626821,0.26525554,0.20856173,-0.17210108,-0.22476797,1.2438046,-1.3594822
34,-0.29258284,-1.3754351,-1.3094962,-0.17894012,-1.9942069,-2.0204587,-0.727368,0.64598376,-0.58697283,0.8714864,-0.2533144,-1.43626,1.2912729,1.0545733,-1.0460927,-1.3691912,-0.36457673,0.34870481,-1.0866227,0.4419296,0.55443704,0.6978666,-0.45330176,0.5465998,-0.09980707,-1.7378119,-1.5444493,-0.4687451,-1.1997405,-0.57357097,0.007621406,-0.13936524
35,0.04190382,0.70889825,-0.032373436,-2.5906355,-0.3736557,0.46313143,1.4577726,-0.2279347,0.14279446,0.78780234,-1.2825857,-1.6244351,0.57013094,0.2582192,-0.8451701,-1.1015021,-1.8628404,0.5890386,1.6838974,-0.37398288,0.34247085,0.9845639,0.93782973,-0.7582466,1.66932,0.7719672,0.8234431,-0.93082964,0.93655807,-0.081219874,0.32636902,0.4612634
