source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84
1603,781,0786,1,girder,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3596942581989549e-35,3.857010718189789e-21,1.3894733441792883e-25,1.1139643682145227e-23,1.6990698778474034e-11,1.728511499624189e-22,0.006680081598460674,0.0,4.662621323995628e-22,1.0573567380857594e-35,1.0612395141647267e-36,2.220261240205659e-33,3.525462834412247e-26,1.352586867588987e-19,3.988337595777373e-20,5.1438120636050404e-30,0.9933199286460876,1.337790838969884e-22,3.512771670766135e-14,2.6056416268918525e-39,0.0,4.0230202226716325e-22,8.137709766396388e-36,4.8956494302410056e-18,1.1512663928631391e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1604,784,0789,1,girder,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4409309627139432e-23,2.4568362610144923e-26,8.702427342112407e-13,2.0868113926249564e-31,1.3579336266555941e-10,1.2196025066864725e-14,1.0,0.0,2.2993332769467162e-14,6.6463740884213155e-34,3.7101677863326556e-15,2.1649178208142702e-27,4.859495650470185e-26,8.952873978198411e-15,2.9029891189839318e-18,1.1413050060582464e-06,1.0686637501148183e-17,6.919445440140035e-19,2.636379545120464e-14,2.974603501083489e-30,0.0,1.9174977361133272e-13,1.4245682876145873e-33,2.172906960360376e-15,2.608683634437298e-25,0.0,2.2338230541857555e-38,2.4366561741886e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1605,784,0789,1,girder,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4409309627139432e-23,2.4568362610144923e-26,8.702427342112407e-13,2.0868113926249564e-31,1.3579336266555941e-10,1.2196025066864725e-14,1.0,0.0,2.2993332769467162e-14,6.6463740884213155e-34,3.7101677863326556e-15,2.1649178208142702e-27,4.859495650470185e-26,8.952873978198411e-15,2.9029891189839318e-18,1.1413050060582464e-06,1.0686637501148183e-17,6.919445440140035e-19,2.636379545120464e-14,2.974603501083489e-30,0.0,1.9174977361133272e-13,1.4245682876145873e-33,2.172906960360376e-15,2.608683634437298e-25,0.0,2.2338230541857555e-38,2.4366561741886e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1606,786,0791,1,girder,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0127961620687146e-30,1.1255334891713223e-27,2.8487348554585585e-15,2.1495918442742694e-42,4.7841890657473813e-20,3.5322520627123564e-16,4.072050096150026e-18,0.0,6.51166504369094e-17,9.625445339830384e-26,6.1133982744178426e-21,1.0538360457664205e-30,1.255048016811362e-28,7.564003185005136e-20,1.9387284237135415e-24,1.0,7.183004744315474e-30,4.600669832799347e-25,1.619252556475312e-14,8.27223407486764e-28,0.0,6.231598353653722e-13,1.540401202479253e-34,1.4824616482848364e-14,8.128889773053196e-23,1.4084590994775169e-40,0.0,1.0635368450559402e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1607,786,0791,1,girder,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0127961620687146e-30,1.1255334891713223e-27,2.8487348554585585e-15,2.1495918442742694e-42,4.7841890657473813e-20,3.5322520627123564e-16,4.072050096150026e-18,0.0,6.51166504369094e-17,9.625445339830384e-26,6.1133982744178426e-21,1.0538360457664205e-30,1.255048016811362e-28,7.564003185005136e-20,1.9387284237135415e-24,1.0,7.183004744315474e-30,4.600669832799347e-25,1.619252556475312e-14,8.27223407486764e-28,0.0,6.231598353653722e-13,1.540401202479253e-34,1.4824616482848364e-14,8.128889773053196e-23,1.4084590994775169e-40,0.0,1.0635368450559402e-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1608,787,0792,1,girder,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8402548399537787e-26,1.6010613253483182e-19,5.306717284398082e-42,1.401277504404705e-13,3.638040405095775e-33,1.0,1.7939990060278098e-20,7.365519823300657e-25,1.9578342835483726e-26,1.8057972790368188e-40,5.123708960520685e-34,8.103968645077375e-30,9.047971103342662e-24,7.099735787747532e-20,1.954361955710417e-36,1.8597497252833987e-29,1.0277204273758116e-16,1.2421306792020914e-06,3.825544807606751e-43,0.0,1.5343096903921518e-17,0.0,6.359939052092489e-20,3.36481179848142e-21,6.858716527903382e-18,6.165713243029195e-44,6.275994264212659e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1609,787,0792,1,girder,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8402548399537787e-26,1.6010613253483182e-19,5.306717284398082e-42,1.401277504404705e-13,3.638040405095775e-33,1.0,1.7939990060278098e-20,7.365519823300657e-25,1.9578342835483726e-26,1.8057972790368188e-40,5.123708960520685e-34,8.103968645077375e-30,9.047971103342662e-24,7.099735787747532e-20,1.954361955710417e-36,1.8597497252833987e-29,1.0277204273758116e-16,1.2421306792020914e-06,3.825544807606751e-43,0.0,1.5343096903921518e-17,0.0,6.359939052092489e-20,3.36481179848142e-21,6.858716527903382e-18,6.165713243029195e-44,6.275994264212659e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1610,787,0792,1,girder,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8402548399537787e-26,1.6010613253483182e-19,5.306717284398082e-42,1.401277504404705e-13,3.638040405095775e-33,1.0,1.7939990060278098e-20,7.365519823300657e-25,1.9578342835483726e-26,1.8057972790368188e-40,5.123708960520685e-34,8.103968645077375e-30,9.047971103342662e-24,7.099735787747532e-20,1.954361955710417e-36,1.8597497252833987e-29,1.0277204273758116e-16,1.2421306792020914e-06,3.825544807606751e-43,0.0,1.5343096903921518e-17,0.0,6.359939052092489e-20,3.36481179848142e-21,6.858716527903382e-18,6.165713243029195e-44,6.275994264212659e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1611,787,0792,1,girder,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8402548399537787e-26,1.6010613253483182e-19,5.306717284398082e-42,1.401277504404705e-13,3.638040405095775e-33,1.0,1.7939990060278098e-20,7.365519823300657e-25,1.9578342835483726e-26,1.8057972790368188e-40,5.123708960520685e-34,8.103968645077375e-30,9.047971103342662e-24,7.099735787747532e-20,1.954361955710417e-36,1.8597497252833987e-29,1.0277204273758116e-16,1.2421306792020914e-06,3.825544807606751e-43,0.0,1.5343096903921518e-17,0.0,6.359939052092489e-20,3.36481179848142e-21,6.858716527903382e-18,6.165713243029195e-44,6.275994264212659e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1612,788,0793,1,girder,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.553728945819943e-28,2.5803886728812178e-24,2.2850497133771834e-33,1.5185842153534433e-14,1.1831688378721756e-25,1.0,0.0,1.1584633807893158e-23,8.741293743531237e-34,2.620428128287408e-43,1.0460865676155564e-36,1.449631445403135e-26,1.9877425211224124e-24,4.4725917445857897e-20,5.832211695121727e-32,5.2660618391204405e-20,6.238185012949359e-21,1.634124813902762e-16,4.764414778704378e-44,0.0,7.213623815863487e-22,0.0,1.402945069942622e-22,1.932632541705568e-28,0.0,1.401298464324817e-45,4.2935412270111956e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
