source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118
10,8,0008,0,column,35,2.0885282953546793e-19,0.0,0.0,0.0,1.530565631917627e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.127861157957439e-25,0.0,4.523137474583296e-28,0.0,3.006779231527808e-20,0.0,8.028678791047626e-36,0.0,0.0,0.0,8.449829739878647e-43,0.0,0.0,0.0,5.885453550164232e-44,0.0,0.0,0.0,8.315086160951159e-32,0.0,8.950725316547936e-22,0.0,1.1658358381512398e-23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,9,0009,0,column,35,5.932502752936664e-13,0.0,0.0,0.0,2.2234608820781432e-07,0.0,1.9353333090790049e-41,0.0,3.698030907300524e-37,0.0,0.0,0.0,8.748985152944197e-30,0.0,3.0604369999915736e-21,0.0,7.96329885903903e-17,0.0,8.565723865902047e-25,0.0,0.0,0.0,7.09317177331377e-31,0.0,0.0,0.0,3.357167855439958e-30,8.833785519103647e-41,0.0,0.0,1.822579551561001e-25,0.0,1.0338743864354101e-16,0.0,3.9589807102686215e-18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,10,0010,0,column,28,3.0878599349815e-25,0.0,0.0,0.0,9.12569976208033e-06,0.0,7.981956764912435e-36,0.0,0.0,0.0,0.0,0.0,1.2133646288047152e-23,0.0,4.802141308420483e-21,0.0,1.145688314854677e-22,0.0,5.040662011142418e-32,4.484155085839415e-44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999992311000824,0.0,3.247536352295196e-26,0.0,8.684264848728818e-18,0.0,4.836272715635914e-09,3.9629278176283775e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,11,0011,0,column,4,7.167268582024273e-22,0.0,0.0,0.0,1.0,0.0,6.91018578563705e-34,0.0,9.80908925027372e-45,0.0,0.0,0.0,1.50643668159932e-17,0.0,3.6938107595580074e-17,0.0,2.0105443483725994e-24,0.0,2.749424157865346e-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.16197547702161e-34,0.0,4.921075721499967e-18,0.0,1.3868810952639456e-14,0.0,1.3632144017945973e-14,0.0,3.884939245302199e-11,9.528205779929522e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,12,0012,0,column,35,2.8355891816544994e-26,0.0,0.0,0.0,2.5258848831977154e-12,0.0,0.0,0.0,1.5414283107572988e-44,0.0,0.0,0.0,1.0198791474241223e-37,0.0,2.108799777981969e-18,0.0,2.7438032558998382e-17,0.0,3.1865635642881684e-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8618803755623433e-28,0.0,0.0,0.0,1.7163693566751838e-29,0.0,4.7601849448059927e-32,1.8216880036222622e-44,3.5511865139474367e-35,1.0,4.908748520529834e-42,1.9323779717118777e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,13,0013,0,column,16,3.5768335243087184e-17,0.0,0.0,0.0,9.467475021460364e-18,3.838485182353466e-37,0.0,0.0,4.299183688548539e-42,0.0,6.8078582643060425e-40,3.186845971617248e-36,0.0,0.0,1.2043659618037717e-26,0.0,1.0,0.0,8.684847715885356e-36,3.526619933122835e-26,0.0,0.0,1.1326205032674983e-39,0.0,0.0,0.0,7.267296951613904e-35,1.4615968051837258e-27,0.0,0.0,6.3589716889525165e-34,0.0,7.016306109551424e-33,0.0,6.657668030512922e-26,9.314013165497077e-18,1.2341520038896922e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,14,0014,0,column,16,1.813730738829748e-16,0.0,0.0,0.0,2.261087706499111e-14,1.336978864812308e-41,0.0,0.0,3.4515652202245497e-28,0.0,4.624284932271896e-44,0.0,5.885453550164232e-44,0.0,7.546184854310595e-22,0.0,0.999969482421875,0.0,2.956358136046862e-29,4.307449387670205e-38,0.0,0.0,6.21857030129654e-25,0.0,0.0,0.0,2.4106936566352028e-20,1.348019714337959e-24,0.0,0.0,5.693342042146205e-27,0.0,8.507137631661612e-26,4.4135842938775525e-39,8.632424358912327e-22,2.96044563583564e-05,4.06858027151806e-29,3.406388396608615e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,15,0015,0,column,16,1.69685543394138e-10,0.0,0.0,0.0,1.0416134882464562e-16,2.382207389352189e-44,9.682972388484486e-43,0.0,1.6815581571897805e-44,0.0,0.0,4.203895392974451e-45,0.0,0.0,5.106436654602566e-28,0.0,1.0,0.0,3.312058189197492e-32,8.407790785948902e-45,0.0,0.0,1.507305291852525e-39,0.0,0.0,0.0,1.441511091203684e-23,8.317296405927429e-27,0.0,0.0,2.5626647654140957e-30,0.0,1.9319372385096296e-23,1.1143751648997558e-33,3.4583701763709166e-18,9.790375975204935e-13,7.454907830208027e-43,1.401298464324817e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,16,0016,0,column,16,6.945283237413946e-11,0.0,0.0,0.0,2.305440907623968e-11,0.0,9.80908925027372e-45,0.0,1.401298464324817e-45,0.0,9.80908925027372e-45,0.0,0.0,0.0,1.268978021002303e-24,0.0,0.998993456363678,0.0,1.5689811665264632e-33,2.4901073711052e-42,0.0,0.0,7.780856579242608e-37,0.0,0.0,0.0,1.7947641845981893e-29,3.817087639629428e-25,0.0,0.0,7.945321429800003e-28,0.0,3.7024782518308916e-14,8.223895585878628e-38,2.9260211601936653e-21,0.0010083375964313745,5.629856710271385e-41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,17,0017,0,column,35,4.649577112214587e-10,0.0,0.0,0.0,1.318306064889934e-16,0.0,1.8216880036222622e-44,0.0,3.771748959561321e-40,0.0,3.3027203505671614e-41,0.0,3.556355372609953e-41,0.0,9.930012747867969e-17,0.0,1.6043072903135225e-12,0.0,1.2104752446469208e-38,0.0,0.0,0.0,4.2606257065822386e-32,0.0,0.0,0.0,4.78629065395684e-34,5.08260683096746e-22,0.0,0.0,1.4764826180862113e-32,0.0,3.089517326063571e-20,1.6768778203189356e-40,1.528010840567001e-20,1.0,0.0,1.1238413683885033e-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
