beam_id,z0,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,z17,z18,z19,z20,z21,z22,z23,z24,z25,z26,z27,z28,z29,z30,z31
12,-0.8718445,-0.34969643,-0.9302251,-0.45116872,-1.5552387,-0.006867293,-0.58570933,0.5970062,0.8166763,-0.9849228,-1.6768051,-0.5924521,-1.0442291,-0.5595652,-0.23518999,1.4814478,-0.50994843,0.63838875,-0.72479415,-0.33118972,-0.37288252,-1.3926125,0.4334945,2.9437673,0.45615005,-0.06931835,-0.22294123,0.48167333,0.88150865,1.3898625,-0.95470935,0.021836368
13,-0.58635664,-0.2604562,-0.87604207,0.21330772,-1.123299,0.32678866,-0.60544384,0.5134585,0.74465466,-1.0279083,-1.4556706,-1.3216674,-1.1059629,-0.36382407,0.41297686,1.4144256,-0.54386276,0.87195593,-0.72927576,0.01907015,-0.6161675,-1.5531434,1.0504972,2.8180525,0.8967398,-0.02912284,0.2669813,0.76492774,0.86472994,1.2477438,-0.8042318,0.185096
14,-1.0138438,-0.71156204,-0.66890305,-0.05133539,-1.1662626,0.20822999,-0.044192508,-0.46338195,-0.10042835,-0.8476877,-0.7362831,-1.6886916,-0.64515984,-0.25672442,0.97427535,1.3897628,-0.85678977,0.76000524,-1.2152234,0.33078945,-0.4428449,-1.3457239,1.3679496,2.844777,0.8281738,-0.7635158,0.21213946,0.047779445,0.5162415,0.598152,-1.4065351,0.76932955
15,1.6151942,0.13501383,-0.56718874,1.1130745,0.947977,0.49782607,-0.02617853,0.6182901,1.6891751,-0.8388181,-0.28338552,-0.28882852,-0.9486057,-0.46150017,1.254367,-1.9766655,1.1679134,-0.15197727,0.29292804,-1.468113,-0.2574834,0.4830867,-0.23016287,-0.81116825,0.5040173,0.7128087,-0.5343727,1.4283803,1.9394653,0.5903491,1.6249765,-0.6998872
16,2.1438966,0.717661,-1.0717505,0.5829131,0.33978227,0.39471233,-0.2664697,-0.3705718,1.9037087,0.008201613,-0.17526864,-1.0298738,-0.77643275,-0.8012907,1.6652482,-1.6971048,0.8511564,0.72649634,-0.49686068,-1.3255414,-0.14864504,0.46051177,-0.38737354,-1.0674487,0.56080484,-0.34122923,-0.38966015,0.8382154,1.0269306,0.2483228,1.9814138,-0.86954
17,1.7940195,0.8660751,-0.89238155,0.6754539,0.82709235,0.37065944,0.48227656,-0.43097663,1.5328864,0.04523396,0.10488874,-0.80148816,-0.5160372,-0.95300835,1.7870497,-2.2588644,0.9807779,-0.08325162,-0.33765033,-1.4943603,0.008095832,0.5900824,-0.04977934,-1.345967,0.40780705,0.07212393,-0.36959913,0.6875107,1.4613152,-0.050637018,1.6840891,-0.69625306
18,1.3390049,0.52449435,-0.7843648,0.92263746,0.03990798,0.38787898,-0.55718553,0.69333655,2.0298321,-0.32711414,-0.11626243,-1.8347931,-1.3272069,-1.0092692,1.6547043,-1.1632442,0.43355638,0.8464138,-0.526888,-1.0224593,-0.75856525,-0.21624178,0.19839615,0.06871274,0.86568373,-0.110755526,-0.8830787,1.0805302,1.8057146,0.91924,1.4937106,-0.7184602
19,1.3261971,0.89635366,-0.7229912,1.184629,0.32428378,0.57445395,-0.43379092,1.0244335,2.0718608,-0.17501594,-0.22929773,-1.7552716,-1.1300117,-0.8190309,1.6535553,-1.3052675,0.39603254,0.72442603,-0.42218646,-0.7217187,-0.71076286,-0.29568285,-0.01298114,-0.17017819,0.8119654,0.16902147,-0.6031348,1.1945672,1.9435372,1.1684623,1.3469247,-0.7213335
20,-0.40053013,0.1633819,-1.4537866,0.5278707,-0.07605981,0.783833,0.8626882,-1.0250498,0.5504124,-0.16460136,0.31125948,-2.6027005,-0.5210494,-1.07974,1.4853044,-0.23677458,-0.12878095,0.82750225,-1.9970205,-0.12212296,-0.4064653,-1.0018919,1.0418195,1.8675842,1.0850576,-0.5039695,0.82031316,-0.19949968,1.3155184,0.80854094,-1.016568,0.23057248
21,-0.7025927,-0.37251318,-0.7653568,0.5880981,-0.62987924,-0.04824354,-0.31109148,-0.20312457,0.40338582,-0.88724035,-0.54708314,-2.11479,-1.1699262,-0.51792663,1.2500831,0.9599528,-0.6136503,1.0188243,-1.2170429,0.40883216,-0.712916,-1.3872354,1.484517,2.496063,1.2296087,-0.5850561,0.4394519,0.41725156,0.61218005,0.9353882,-1.007304,0.67083967
22,-1.0927417,-0.5711461,-0.7588043,0.111418486,-0.8174537,0.097195186,0.12408275,-0.40618205,-0.075024165,-0.66788423,-0.32777715,-2.0185876,-0.78127706,-0.70725906,1.1143706,0.98840326,-0.7419417,0.76573926,-1.284782,0.39227608,-0.37594435,-1.4041762,1.4770821,2.695495,0.99717164,-0.49003738,0.56804,-0.09421097,0.78529215,0.62398535,-1.4172349,0.6515321
23,-0.32738152,-0.28930637,-0.8829472,0.25869796,-1.2405003,0.31591645,-0.7286175,0.6198191,1.0147196,-1.1760483,-1.23433,-1.6655673,-1.3063817,-0.34264535,0.78345793,1.0559981,-0.5068998,0.776402,-0.77871764,-0.22561273,-0.6232767,-1.3025329,1.0307716,2.5263898,0.85111946,-0.12463612,-0.46151057,0.9369354,1.3795352,1.2844932,-0.6394998,-0.04762296
24,-0.5437292,-0.12377364,-0.87940216,0.20224114,-0.8689954,-0.011231826,0.0043433993,-0.15905817,0.6921193,-0.66050047,-0.5980513,-2.2065496,-1.3546966,-0.78217596,1.2255911,0.76971215,-0.60328376,0.72989047,-1.3902473,0.12815803,-0.5604456,-1.4098456,1.2300993,2.5112908,1.2729595,-0.823282,0.0630617,0.24522372,1.0093888,0.8719478,-0.9263697,0.81832874
25,1.319194,-0.63782686,-0.7617467,0.064968765,0.5468468,-0.9005221,1.2398394,-0.18435746,1.2262207,0.72433543,-0.8228487,1.1841565,-1.5331897,-0.31005505,0.08306781,-0.05931736,0.91089064,0.6810899,1.9252316,-1.4805819,-1.3722328,0.95443135,-1.0688484,-1.2740912,-0.3610069,0.473781,-0.38880092,1.8976923,1.0405965,-0.030501794,0.81491727,0.31168514
26,0.93832815,0.7788821,-1.0343099,0.68227315,-0.15443161,0.06229659,-1.0698446,1.0587845,2.015766,-0.43418315,-1.758956,-0.91692936,-1.0545479,-0.9847254,0.31079355,0.5339967,-0.14032526,1.1701795,-0.6566114,-0.5372887,-0.68685615,-0.7594966,0.30840072,1.7127054,1.0306932,0.4835836,0.82938296,1.5497657,1.1064098,1.497366,0.60831946,-0.1645686
27,1.1982819,1.1324204,-0.96303034,0.77301043,0.5135059,-1.0576466,-0.6191019,0.64184624,1.809129,-0.18512228,-0.13994919,-1.521704,-1.1348826,-1.4522007,0.6403637,-0.6721161,0.38392934,1.5147244,-0.9445296,-0.048169598,-1.1243279,-0.45479575,1.1613387,1.003651,1.3073738,0.69970775,1.124612,1.0061188,1.2959827,1.227557,0.79346573,-0.18086897
28,1.7263031,1.4703803,-0.9922486,0.9653021,0.8265907,-0.8309651,-0.6522916,0.68793297,2.0711951,0.20937425,-0.37410286,-1.020848,-0.792456,-1.3850958,0.5747823,-0.8024096,0.5097695,1.3516941,-0.8736918,-0.09268396,-0.9671697,-0.05000878,0.35928503,0.24084675,1.1896219,0.7517889,1.2288908,1.2586559,1.1154879,1.2623982,1.201565,-0.2362032
