beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
765,708,390,8,5.0311234e-36,4.867887e-09,1.0321697e-13,7.262213e-16,4.6345955e-10,5.3258754e-37,5.5657038e-11,2.2843531e-10,0.9999962,4.532669e-14,2.1997293e-14,1.7088328e-26,0.0,7.633235e-09,2.7806465e-20,6.8059163e-17,9.592817e-12,3.903682e-36,5.055944e-28,2.6524604e-06,6.677443e-30
766,534,488,8,2.5105502e-37,3.8304136e-13,2.2835787e-09,7.379728e-16,1.1150364e-07,9.7684574e-32,1.3143137e-09,1.7875358e-06,1.0,4.4259582e-17,1.3998983e-14,3.820745e-17,0.0,1.6499523e-10,1.9943096e-19,1.7224136e-10,5.6187004e-16,1.8757042e-27,2.0848269e-19,2.2582947e-14,2.681848e-25
767,390,709,19,2.2702623e-25,6.0455413e-06,1.2426914e-11,3.5533161e-19,5.3195514e-18,1.1e-44,1.5206113e-09,1.0246218e-13,7.733692e-06,7.321004e-11,4.203833e-08,1.7985378e-32,0.0,2.899467e-05,4.767754e-13,1.4982388e-13,3.914268e-14,1.8546941e-26,2.889229e-22,0.999958,1.1941709e-15
768,709,710,19,4.450343e-37,2.0240428e-08,1.7309161e-11,1.4800161e-20,8.1769087e-23,2.048533e-39,1.7995848e-13,4.8828248e-15,1.0234046e-10,2.0826405e-12,7.665174e-05,1.7982182e-29,0.0,2.611474e-08,5.1541727e-19,1.4153865e-11,2.9924205e-19,1.371515e-19,2.2549699e-31,0.99992365,3.6959844e-23
769,710,477,1,1.249e-42,1.0,2.1707008e-17,4.1881065e-12,2.2227379e-24,2.7602194e-34,2.9005626e-12,2.7658166e-11,7.9524064e-08,3.554585e-07,8.161127e-19,3.696511e-28,0.0,8.067126e-11,2.3376794e-16,2.8170823e-15,5.6559362e-12,5.1802258e-36,1.5673124e-25,1.2051542e-07,1.811411e-20
770,184,61,8,1.648859e-39,1.11986175e-07,3.65513e-14,2.1855552e-11,7.274423e-28,4.515555e-34,9.072337e-09,2.4901792e-05,0.99997336,9.67709e-13,2.6934382e-14,1.1106796e-24,0.0,3.8721785e-07,5.5846815e-16,2.6211613e-11,4.691608e-17,7.7524817e-35,2.6719137e-24,1.3502146e-13,7.4481225e-21
771,379,336,12,0.0,1.9661219e-16,1.12481185e-13,1.5015302e-11,3.047381e-19,6.03042e-40,5.470893e-19,2.5726293e-20,1.2271534e-14,9.5307556e-23,2.810021e-22,5.0535723e-28,1.0,3.36439e-20,6.1507173e-33,3.560738e-19,2.0486323e-19,9.06033e-40,1.651973e-26,3.1272458e-21,1.126648e-39
772,390,341,8,3.7226018e-37,9.567297e-07,4.403013e-06,4.0283314e-08,1.1918016e-12,1.5125497e-35,5.678561e-08,1.0455519e-06,0.9999923,8.286107e-11,2.5690184e-14,1.2740567e-16,0.0,2.602623e-08,2.0093614e-11,5.0741473e-12,1.825421e-07,1.8369522e-24,1.9794179e-25,8.699254e-10,3.5627435e-22
773,534,711,8,2.829247e-26,9.512625e-09,6.612851e-08,1.4950899e-17,1.53752e-10,0.0,1.0066609e-05,6.015688e-11,0.99996185,3.728933e-11,4.2521286e-12,1.1434217e-23,0.0,2.6209093e-05,8.393415e-18,1.1749274e-13,2.2528358e-10,1.9132671e-28,1.7557023e-17,3.7980353e-08,2.6372916e-24
774,711,712,4,6.4963e-41,3.62309e-14,2.4113553e-13,2.35322e-09,1.0,0.0,3.0414324e-13,8.39003e-16,9.943856e-08,2.5943838e-17,9.244474e-22,1.800964e-29,2.3376758e-34,1.572003e-15,2.0262317e-28,7.497677e-11,5.2697762e-14,1.1977411e-33,3.56098e-28,1.4288905e-17,1.7788419e-29
775,712,713,4,0.0,2.3983068e-16,5.4895845e-18,1.1090628e-08,1.0,5.363e-42,7.8245005e-20,2.9918573e-14,1.5118627e-13,3.912846e-16,1.391758e-20,1.6109256e-33,8.95371e-34,6.5074366e-19,1.8525586e-26,3.9777355e-11,1.04820235e-16,7.295549e-34,2.4223858e-25,3.01807e-16,6.0401793e-33
776,713,714,4,0.0,1.6942307e-16,9.263212e-16,8.004805e-11,1.0,2.26e-43,6.6431515e-20,3.522742e-14,2.0528464e-14,2.3213626e-17,3.9529568e-19,3.180513e-32,3.5428e-41,6.473368e-19,1.0245071e-23,4.1950315e-11,1.398497e-18,3.1843532e-37,2.9544724e-16,2.1144333e-15,1.4819851e-31
777,714,715,4,7.980365e-38,5.4642033e-17,3.0013335e-14,1.1040285e-13,0.9999962,0.0,1.5481636e-14,1.9425846e-10,1.4875192e-08,1.8746425e-15,3.806443e-18,1.1958888e-31,0.0,1.3103311e-13,1.8852423e-22,1.0741437e-11,1.5900629e-19,7.3535787e-35,2.7457138e-06,3.6050967e-15,4.9068125e-25
778,715,413,8,2.7927098e-29,9.1787494e-10,1.4470782e-12,2.5813898e-19,1.0926467e-17,0.0,1.5218067e-09,7.890156e-09,0.9999923,6.27879e-15,2.3819388e-10,3.039957e-22,0.0,7.798958e-06,3.8142154e-20,1.0255781e-09,3.1454785e-14,1.5192788e-30,8.4712604e-10,2.772772e-08,1.6394409e-28
779,402,268,8,0.0,1.5565147e-12,3.8937037e-13,8.233165e-13,9.045609e-20,2.747e-42,2.7416934e-07,5.058583e-07,0.99997336,8.878959e-17,3.5218725e-12,1.3280842e-22,0.0,2.1825405e-10,4.9578934e-26,2.5109646e-05,5.503818e-12,9.2642173e-35,1.8437374e-20,1.8049473e-13,1.4403322e-34
780,97,716,8,0.0,5.9309205e-05,7.729474e-06,2.5323224e-10,1.6508132e-27,7.7255e-41,3.9473906e-07,6.1278676e-08,0.9998588,2.5803355e-12,7.6396445e-09,1.8563904e-21,0.0,7.3755764e-05,1.95982e-13,2.5667745e-07,6.375959e-09,7.475939e-27,1.2232297e-33,7.67514e-08,3.6937647e-19
781,716,717,8,1.4e-44,3.2508614e-09,1.5493814e-13,4.7910363e-13,3.165879e-24,1.805e-42,1.5056049e-08,2.203337e-10,0.9999962,2.555927e-16,6.41774e-15,3.4933759e-25,0.0,5.0292492e-11,1.274477e-20,3.2863643e-06,4.2858428e-10,4.8719326e-33,4.0641174e-27,1.3835053e-13,8.415372e-19
782,717,268,16,1.101e-42,7.608032e-09,9.665229e-09,2.8015247e-13,1.3930274e-20,0.0,0.003948498,8.8346724e-08,0.00046693202,2.119007e-12,6.947882e-18,5.620041e-27,0.0,2.0918878e-09,6.498829e-19,5.697585e-10,0.9955847,3.560105e-39,2.2551803e-20,3.183233e-16,4.832281e-35
783,268,718,16,6.5180853e-37,2.1037694e-11,4.850669e-08,7.884976e-10,3.865419e-22,3e-45,1.4080285e-06,4.144545e-11,1.4056247e-13,3.4612897e-09,9.904002e-21,5.0258114e-28,0.0,7.400431e-13,2.505382e-16,7.3183033e-09,1.0,3.742307e-30,5.670414e-26,3.2929652e-21,8.64932e-33
784,718,719,16,1.645542e-30,3.423663e-11,1.5024519e-12,9.885153e-09,1.10306636e-17,6.2355e-41,0.00045914444,9.3883866e-11,0.00027326445,6.030223e-14,1.2059931e-19,4.8955702e-27,0.0,2.0591956e-10,2.2413082e-16,2.8758233e-08,0.9992678,0.0,1.3731615e-30,4.4374423e-22,5.657019e-33
785,719,465,8,3.4901013e-16,1.4792034e-05,1.7000592e-14,7.334907e-16,2.7152202e-33,1.3185e-41,3.8285885e-05,2.1536555e-14,0.99980927,1.1666853e-16,9.5985e-10,4.4896093e-31,0.0,0.00013762843,3.2699605e-12,3.5152785e-14,2.85537e-16,0.0,1.5403155e-31,4.396008e-09,1.7675924e-07
786,500,720,10,6.209934e-35,1.4335684e-11,1.4702181e-14,2.5011937e-13,3.8442577e-30,3.04908e-33,5.4286653e-13,1.2391711e-16,2.1998095e-10,2.3126048e-16,0.9999962,6.570547e-26,0.0,2.1142603e-11,4.6280424e-17,8.1516205e-08,9.314141e-21,1.9488782e-33,9.993311e-34,2.389853e-06,1.1122504e-13
787,720,721,3,0.0,0.00013680298,2.0902375e-08,0.86984307,1.0087551e-14,9.648728e-31,1.2543374e-09,3.1093033e-09,1.3791637e-05,1.3528002e-09,6.355388e-10,6.442252e-20,0.0,1.3684849e-10,3.0190703e-17,0.12996611,3.9479517e-05,1.5403777e-34,3.4650475e-28,2.5527135e-07,1.3857053e-24
788,721,402,15,0.0,1.1279485e-13,3.147135e-14,1.3047575e-09,2.5692949e-20,0.0,8.0279283e-10,1.6429189e-09,9.315558e-07,9.056547e-14,1.526144e-16,9.417668e-31,0.0,1.9572125e-13,1.7647773e-21,1.0,3.2417174e-12,3.7032036e-19,9.848362e-20,5.0549137e-16,1.0600286e-23
789,402,371,8,5.8805e-41,2.2532246e-08,1.2098093e-10,1.9598519e-11,1.0330722e-12,3e-44,2.3689289e-08,1.5206901e-12,0.9990011,1.0813474e-17,5.905977e-11,4.312071e-22,0.0,2.8934515e-08,8.3538655e-19,0.0009964267,8.321894e-13,3.9641224e-31,1.8222157e-20,2.0714117e-06,2.5006755e-23
790,500,366,8,1.3333e-41,1.3104301e-07,1.7106071e-18,1.04470706e-13,4.2955247e-21,1.07353e-32,1.7034978e-09,1.3593084e-08,0.9999923,1.3212337e-12,1.2326774e-11,1.1444891e-26,0.0,8.883751e-06,1.3235142e-19,8.724726e-14,9.323498e-12,0.0,1.6376679e-33,5.416449e-10,8.549547e-29
791,477,346,9,5.84056e-40,0.16720349,5.697465e-14,7.0644764e-06,1.3397882e-14,4.2579752e-33,2.7193715e-07,0.0014059589,0.3189335,0.51244986,1.2878917e-14,6.721712e-21,0.0,6.398155e-09,2.740377e-21,2.7423088e-08,2.030935e-07,6.4576104e-26,1.4909456e-22,4.3887693e-09,3.017066e-25
792,511,351,8,5.0011555e-22,8.6276386e-10,2.3854858e-17,1.7666569e-13,3.1918736e-19,0.0,4.3562177e-06,1.0261538e-08,0.9999962,6.109457e-14,9.316703e-13,6.1948846e-28,0.0,1.3406102e-08,7.900042e-22,1.211907e-09,7.719189e-14,1.0540383e-35,9.261487e-22,5.6967255e-14,2.8604978e-21
793,361,356,8,0.0,4.7917982e-08,2.3094588e-15,8.1250257e-13,2.5172984e-17,2.1801362e-32,1.2478325e-09,1.197402e-05,0.9999886,2.2265352e-13,2.4529141e-17,1.5942452e-22,0.0,9.290971e-13,1.3786263e-21,3.4109124e-12,1.2235413e-12,3.923456e-32,1.0481498e-32,8.432481e-16,4.6420983e-25
794,61,722,3,0.0,1.9424178e-06,0.00041595596,0.9980755,4.5428955e-16,7.1339536e-32,2.2381208e-09,2.7756721e-08,2.5549626e-08,0.00028567493,4.6569562e-12,4.1840537e-18,0.0,1.503107e-10,2.6934253e-16,0.0012203447,2.053223e-06,6.412628e-14,2.6944027e-15,1.1841797e-11,1.1533434e-24
795,722,723,3,0.0,6.6239424e-13,1.3973206e-15,1.0,5.2772856e-19,4.681208e-30,2.0046564e-15,5.0278105e-11,2.6947709e-09,8.211832e-14,2.5691813e-17,2.9875491e-27,2.7210272e-33,4.1357382e-16,4.6815303e-22,1.8144423e-10,1.6690378e-11,3.7323324e-27,1.9927173e-22,5.9754597e-18,8.0252595e-26
796,723,724,12,0.0,1.5126428e-19,2.0282e-24,4.1651318e-12,1.5259847e-26,1.319276e-39,4.809318e-25,6.0220374e-22,1.9507217e-19,3.0609927e-24,2.5833889e-27,2.5155244e-38,1.0,4.736238e-25,5.0065296e-33,4.8696113e-25,2.1966335e-23,6e-45,2.847801e-37,1.8215222e-26,1.56181e-39
797,724,336,12,0.0,7.042351e-23,2.3454803e-21,1.5937219e-15,7.621076e-31,2.6079913e-37,4.8168993e-26,5.718264e-27,2.0427375e-22,1.656199e-28,7.185667e-29,2.1074167e-33,1.0,2.4324487e-27,7.2503985e-37,1.5098132e-25,3.1277166e-25,0.0,3.2289026e-37,2.2705089e-29,1e-45
798,336,725,12,0.0,3.7899002e-16,9.300292e-14,6.3156075e-10,1.7839208e-26,1.0631972e-35,9.6497766e-20,3.1170613e-22,2.84084e-19,1.1548955e-20,7.92545e-24,3.868269e-28,1.0,2.1043285e-21,5.619135e-29,9.871838e-19,7.895961e-18,5.344594e-39,3.8746152e-30,7.365359e-23,2.311e-42
799,725,726,12,0.0,3.409659e-22,6.279986e-23,4.82496e-16,2.4725115e-24,0.0,2.4533416e-27,3.664851e-27,5.26587e-24,8.925501e-28,2.6391556e-30,7.77895e-39,1.0,2.4919273e-28,2.2934887e-38,3.178438e-25,1.7416603e-25,0.0,4.8643885e-35,9.393177e-28,0.0
800,726,341,4,5.18613e-39,4.384931e-12,8.1248654e-14,6.880666e-06,0.9999923,1.067852e-39,4.2687644e-15,1.3168689e-08,1.9174315e-06,4.5317625e-10,1.2883713e-17,1.604635e-23,2.0043296e-28,1.7477073e-13,2.9349037e-24,4.601668e-11,1.5352285e-10,5.209662e-33,3.5664024e-14,3.0159423e-15,1.216364e-29
801,341,727,4,2.3271508e-26,1.1043213e-09,3.866539e-15,1.0405981e-06,0.99992746,0.0,1.2320234e-12,5.2228866e-06,2.5324061e-05,4.1045314e-05,1.6797986e-13,1.833287e-28,0.0,1.6843579e-09,5.9956214e-18,5.3138997e-08,4.1417977e-10,5.3455367e-30,1.7311803e-11,6.7973777e-10,1.2567929e-19
802,727,728,4,8.7484e-40,2.484027e-16,6.265995e-13,8.090373e-16,1.0,7e-45,1.1014061e-16,1.5227574e-11,6.293938e-10,1.6428583e-14,1.2145049e-14,1.6992763e-27,0.0,1.5366036e-12,9.3867995e-21,6.41015e-09,7.920785e-19,2.3460087e-28,2.3244204e-09,2.4414407e-10,1.8903462e-24
803,728,346,8,4.5516416e-22,2.7758416e-08,1.8279798e-13,4.322093e-18,1.38010254e-17,0.0,6.9247385e-08,1.0540448e-08,0.95200706,2.939708e-11,2.1996355e-08,4.5038658e-30,0.0,0.047986355,8.420377e-20,6.570515e-13,2.2554019e-14,4.472625e-28,2.0164114e-25,4.9198484e-06,7.496572e-31
804,346,729,10,9.167216e-22,5.2967204e-07,4.763401e-09,6.992956e-17,9.4714746e-35,5.955193e-30,1.7190593e-10,7.022988e-14,4.316821e-10,5.1951166e-10,0.9780879,8.121881e-24,0.0,5.2433512e-05,1.4186176e-13,2.8711934e-11,2.6624318e-16,1.7749779e-22,1.1449023e-29,0.021857657,5.6554557e-14
805,729,730,10,3.2184144e-21,5.3750795e-09,1.8471269e-09,5.1143305e-21,6.196137e-28,3.6801869e-37,2.187699e-11,1.3819024e-12,1.6069742e-09,1.1706777e-12,0.9938962,1.4970086e-23,0.0,9.257814e-07,6.744494e-21,4.918509e-09,2.041314e-20,4.9103264e-20,6.6540136e-33,0.006101293,2.020582e-20
806,730,351,8,1.8978774e-14,5.079491e-05,3.551539e-05,3.7886488e-13,1.1794074e-23,0.0,5.3242155e-05,2.7737771e-08,0.45297614,6.467746e-10,0.25438073,1.703141e-23,0.0,0.26553318,1.8731823e-17,7.805446e-06,6.314087e-11,2.9250263e-22,8.822577e-24,0.026961582,5.179779e-18
807,351,731,10,1.7152875e-16,4.7902606e-09,1.0288908e-06,1.3402743e-13,1.5293383e-30,2.5045e-41,2.7296592e-08,3.5475858e-12,1.5322636e-08,3.9490525e-12,0.99978644,2.535029e-25,0.0,0.00015427654,1.0504581e-12,1.3988476e-05,2.6563565e-15,4.258294e-21,2.98375e-24,4.391056e-05,9.919437e-12
