source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88
590,53,0053,1,girder,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0879347118439774e-43,6.148391617088144e-19,8.401603203660778e-21,5.854433093522652e-25,7.966248105617524e-09,2.5096857925177574e-09,0.0,1.1762685217295215e-20,2.0458308089814907e-32,8.179929583735139e-32,3.5504553213556493e-20,6.551159278345652e-16,7.58452574279773e-18,0.0,2.811615834330301e-24,1.0,2.5582871568996407e-24,4.075518521483638e-24,4.203895392974451e-44,0.0,0.0,5.378183506078648e-42,3.615350037958028e-43,0.0,0.0,4.0295946346188016e-29,1.6943927606024008e-23,1.8254266679250808e-39,0.0,9.736009221050779e-11,0.0,0.0,1.3436246241459164e-17,8.044260629738244e-19,0.0,2.515124636707519e-28,5.504923832121891e-22,5.495878003577904e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
591,56,0056,1,girder,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.003510449855137e-19,0.0,2.0117326973587702e-17,4.7145254387299405e-29,4.965279742918938e-09,1.3498708227588363e-11,5.184804318001823e-44,5.896806604796444e-21,2.3307791590743125e-23,2.791234329891027e-18,5.58631926825155e-17,6.371484673195482e-09,2.5642547290355573e-18,0.0,5.7665701069250935e-33,0.0,6.733079127877947e-14,9.825317554977352e-21,1.780611707668984e-24,0.0,1.0,0.0,1.1576406873480179e-40,0.0,0.0,0.0,0.0,3.7449181147140633e-31,0.0,3.4813465137518606e-19,6.760686354101476e-39,0.0,0.0,2.6428745189989516e-29,0.0,1.2342957748438706e-19,2.2930006842717203e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
592,57,0057,1,girder,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2445248507428914e-05,0.0,7.67717989757102e-18,4.304195222459839e-09,5.840876227125591e-08,1.498686869050303e-10,0.0,1.0008125480251024e-38,5.4647364050889e-20,1.6801669441119947e-17,1.1215797179886522e-08,0.0011750005651265383,5.371495267524085e-23,0.0,1.1102014418895578e-08,0.0,9.408899215301858e-10,5.3616768127540126e-05,3.893695438846649e-32,0.0,1.9337918807682476e-43,2.802596928649634e-45,3.0469275046681886e-34,4.5165647651378276e-37,0.0,9.733088522831137e-31,6.297964680088542e-35,0.9987381100654602,1.0676268664970472e-28,1.1783679587651363e-09,1.9690269701343094e-38,7.870137333981297e-31,0.0,2.0978724739359598e-17,0.0,3.1260157129509025e-07,2.3305189533047253e-25,4.203895392974451e-45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,58,0058,1,girder,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44318745855382e-27,0.0,8.438704379373774e-13,2.15793115193374e-22,2.906142526626354e-06,1.7185973320010817e-06,0.0,0.9995537400245667,1.1697890706234723e-35,2.0880034234066203e-18,3.9236187390819796e-18,0.00044203855213709176,8.863353587249611e-18,0.0,5.958771318405902e-19,0.0,8.292656561437184e-10,2.7047049495909636e-12,5.459565091681107e-14,5.261315214153958e-40,1.7656360650492695e-43,2.351052979556469e-28,1.2384272648350655e-34,0.0,0.0,1.8481397850406888e-26,4.428198276492241e-27,1.5875780152105747e-34,0.0,3.6482716847530128e-09,0.0,0.0,0.0,8.062648279864772e-15,0.0,1.8109852578496354e-32,1.0930786654432581e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,58,0058,1,girder,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44318745855382e-27,0.0,8.438704379373774e-13,2.15793115193374e-22,2.906142526626354e-06,1.7185973320010817e-06,0.0,0.9995537400245667,1.1697890706234723e-35,2.0880034234066203e-18,3.9236187390819796e-18,0.00044203855213709176,8.863353587249611e-18,0.0,5.958771318405902e-19,0.0,8.292656561437184e-10,2.7047049495909636e-12,5.459565091681107e-14,5.261315214153958e-40,1.7656360650492695e-43,2.351052979556469e-28,1.2384272648350655e-34,0.0,0.0,1.8481397850406888e-26,4.428198276492241e-27,1.5875780152105747e-34,0.0,3.6482716847530128e-09,0.0,0.0,0.0,8.062648279864772e-15,0.0,1.8109852578496354e-32,1.0930786654432581e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,58,0058,1,girder,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.44318745855382e-27,0.0,8.438704379373774e-13,2.15793115193374e-22,2.906142526626354e-06,1.7185973320010817e-06,0.0,0.9995537400245667,1.1697890706234723e-35,2.0880034234066203e-18,3.9236187390819796e-18,0.00044203855213709176,8.863353587249611e-18,0.0,5.958771318405902e-19,0.0,8.292656561437184e-10,2.7047049495909636e-12,5.459565091681107e-14,5.261315214153958e-40,1.7656360650492695e-43,2.351052979556469e-28,1.2384272648350655e-34,0.0,0.0,1.8481397850406888e-26,4.428198276492241e-27,1.5875780152105747e-34,0.0,3.6482716847530128e-09,0.0,0.0,0.0,8.062648279864772e-15,0.0,1.8109852578496354e-32,1.0930786654432581e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,59,0059,1,girder,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7683451570710275e-22,3.358702224216938e-39,2.2017661934364976e-17,8.058284576334254e-22,3.2231977503682785e-11,1.940197398653254e-05,0.0,0.9999809265136719,3.513975342633992e-38,1.0563017619042036e-25,5.688955342348762e-20,6.7237015954901835e-09,2.5189263219889668e-21,0.0,3.5702539478821397e-22,0.0,8.157556601068943e-17,3.6431751594394546e-20,4.001554455625807e-18,2.0028618820748178e-40,0.0,7.664358624718148e-34,9.853383734211641e-38,0.0,0.0,4.2321865023643665e-22,3.9223835330530327e-22,1.1103580745647699e-39,0.0,3.5192956188145885e-11,0.0,0.0,0.0,2.661980948529869e-19,0.0,1.7959569972721834e-28,8.630356896166557e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,59,0059,1,girder,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7683451570710275e-22,3.358702224216938e-39,2.2017661934364976e-17,8.058284576334254e-22,3.2231977503682785e-11,1.940197398653254e-05,0.0,0.9999809265136719,3.513975342633992e-38,1.0563017619042036e-25,5.688955342348762e-20,6.7237015954901835e-09,2.5189263219889668e-21,0.0,3.5702539478821397e-22,0.0,8.157556601068943e-17,3.6431751594394546e-20,4.001554455625807e-18,2.0028618820748178e-40,0.0,7.664358624718148e-34,9.853383734211641e-38,0.0,0.0,4.2321865023643665e-22,3.9223835330530327e-22,1.1103580745647699e-39,0.0,3.5192956188145885e-11,0.0,0.0,0.0,2.661980948529869e-19,0.0,1.7959569972721834e-28,8.630356896166557e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
598,59,0059,1,girder,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7683451570710275e-22,3.358702224216938e-39,2.2017661934364976e-17,8.058284576334254e-22,3.2231977503682785e-11,1.940197398653254e-05,0.0,0.9999809265136719,3.513975342633992e-38,1.0563017619042036e-25,5.688955342348762e-20,6.7237015954901835e-09,2.5189263219889668e-21,0.0,3.5702539478821397e-22,0.0,8.157556601068943e-17,3.6431751594394546e-20,4.001554455625807e-18,2.0028618820748178e-40,0.0,7.664358624718148e-34,9.853383734211641e-38,0.0,0.0,4.2321865023643665e-22,3.9223835330530327e-22,1.1103580745647699e-39,0.0,3.5192956188145885e-11,0.0,0.0,0.0,2.661980948529869e-19,0.0,1.7959569972721834e-28,8.630356896166557e-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,60,0060,1,girder,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9828095724385446e-19,2.237136563637667e-34,1.5208096461915882e-15,1.3221755077449896e-21,1.1337745187134374e-09,0.9968996047973633,0.0,3.1957836984369825e-12,7.269936432917151e-42,1.4194599305911246e-16,3.830873594441309e-17,0.0031019083689898252,2.64903479646159e-19,0.0,1.1063829378930526e-17,0.0,1.1464166421726318e-10,3.580728022981516e-15,1.1828377361779163e-13,4.4560310256604155e-40,0.0,8.117424368039843e-38,4.880271214246731e-31,0.0,0.0,1.6221187174454734e-17,7.916801713318444e-18,6.116044514635294e-25,0.0,1.6152772452926456e-09,0.0,2.103416734391939e-33,0.0,5.225973023487134e-22,0.0,4.7894991831259513e-29,2.6057543258067643e-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
