beam_id,start,end,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18
1135,132,915,17,1.129342e-08,0.0,1.0409843e-34,3.273693e-19,3.1087648e-12,7.1417976e-24,1.4460011e-06,4.3386163e-16,2.326353e-10,2.23e-42,1.0916804e-09,3.449352e-14,5.0227064e-13,2.6643458e-13,4.9095068e-18,0.0,5.7474e-10,1.0,8.593373e-19
1136,915,210,17,6.5920474e-08,0.0,6.638273e-32,1.2019322e-13,1.2143424e-07,9.920787e-37,0.0009977922,1.0794515e-17,3.482531e-18,2.7617837e-30,1.2173466e-09,2.36585e-15,1.348545e-08,4.6771547e-08,3.730504e-08,0.0,1.4364491e-09,0.9990011,1.1077129e-25
1137,210,916,17,1.0377843e-12,0.0,1.4232118e-31,3.0634135e-15,7.7917235e-08,1.7206699e-29,1.0532907e-05,1.1422886e-15,6.1316095e-23,1.1059621e-30,3.4516265e-08,6.6599335e-17,3.0508478e-11,1.8486243e-06,5.355061e-10,0.0,2.3615977e-12,0.9999886,5.662208e-23
1138,916,108,17,2.4496353e-07,0.0,1.5935585e-29,1.6851352e-17,0.00015881474,2.1925555e-24,1.1071242e-05,6.564348e-14,4.0232042e-22,6.0422396e-30,0.000668982,3.435105e-14,9.241056e-14,0.0013515251,5.106734e-11,0.0,3.2855916e-11,0.99780893,4.337319e-19
1139,108,917,13,0.011205868,0.0,8.582393e-20,6.3981464e-19,0.00030149354,2.229384e-19,2.447075e-08,2.3320662e-10,2.7571705e-17,3.7055144e-30,0.0076613235,8.225702e-11,6.9154285e-13,0.9656572,1.7592677e-11,0.0,7.659224e-09,0.015174528,1.4365584e-17
1140,917,918,0,0.98988533,0.0,7.427715e-23,1.1435386e-17,1.4701169e-07,7.713147e-31,1.3100896e-08,4.1941654e-12,0.0045015235,3.5025835e-32,0.004478145,1.8493186e-10,6.523793e-11,0.0006712494,7.048953e-11,0.0,1.8052782e-05,0.0004457962,5.714437e-16
1141,918,144,17,0.33458132,0.0,9.79726e-26,7.723722e-15,2.349502e-13,3.3857e-41,1.9369036e-08,1.3625275e-15,1.5448798e-11,1.3e-43,6.1961494e-09,1.1060149e-11,1.0422328e-10,1.2379807e-08,5.197168e-14,0.0,6.438827e-08,0.66541976,1.7692615e-19
1142,144,450,17,3.2492853e-10,0.0,1.23886075e-36,1.22687e-18,5.0341443e-11,2.3341134e-25,2.0110765e-06,2.4932788e-12,2.6660409e-15,1.4641e-41,6.1916605e-09,8.287016e-13,1.3950099e-14,1.5442622e-10,1.8378797e-14,0.0,3.6056366e-13,0.9999962,1.6969602e-16
1143,144,132,17,2.9086241e-08,0.0,2.5154667e-38,9.509676e-19,1.772601e-09,7.1228463e-28,4.7860303e-06,6.885249e-17,5.789975e-12,2.5439e-41,8.784963e-09,4.1327952e-13,1.0572148e-14,3.1307425e-14,4.2563924e-14,0.0,6.9068904e-12,0.9999962,5.460798e-20
1144,914,450,17,8.270727e-11,0.0,1.3218011e-38,1.0851656e-17,1.1871435e-09,8.9325885e-35,1.944338e-06,2.3439772e-14,2.4162835e-19,4.5028558e-36,3.5905168e-10,6.716507e-14,2.2109614e-13,2.6733601e-10,1.2378136e-11,0.0,4.5463866e-13,0.9999962,2.1511096e-22
