source_beam_id,beam_id,element_id,beam_type,beam_type_name,cluster,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43
1427,654,0655,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.258049931919874e-21,4.679870073687198e-07,6.966742720909691e-13,6.412512448122909e-12,1.0,0.0,9.890252306639803e-15,2.1889623219091535e-31,4.44503958622787e-19,8.143921094772738e-21,9.477628663479453e-18,7.357347509007184e-10,1.095554311332514e-12,1.4539100937749982e-29,2.7219500958741705e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1428,655,0656,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.781662706945363e-19,3.2395266771345632e-06,6.592972927437963e-17,1.078333980331081e-06,0.9999961853027344,0.0,4.147308852679027e-13,3.451765969532303e-26,2.807702792783437e-17,2.3520378876191877e-22,9.600992063929896e-17,3.80849050065593e-18,3.2733731183452286e-16,1.6815581571897805e-44,1.0616967611868419e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1429,655,0656,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.781662706945363e-19,3.2395266771345632e-06,6.592972927437963e-17,1.078333980331081e-06,0.9999961853027344,0.0,4.147308852679027e-13,3.451765969532303e-26,2.807702792783437e-17,2.3520378876191877e-22,9.600992063929896e-17,3.80849050065593e-18,3.2733731183452286e-16,1.6815581571897805e-44,1.0616967611868419e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1430,656,0657,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.314404421926814e-18,0.10122387856245041,1.2325624254572176e-07,5.5655813291366485e-09,0.8987738490104675,0.0,5.767966513303691e-07,1.0344076977983648e-37,1.8484051230805223e-14,3.945763647864335e-15,6.11394378387595e-18,4.629681360501792e-11,8.629206311290005e-20,7.861284384862224e-43,1.3862622529926816e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1431,656,0657,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.314404421926814e-18,0.10122387856245041,1.2325624254572176e-07,5.5655813291366485e-09,0.8987738490104675,0.0,5.767966513303691e-07,1.0344076977983648e-37,1.8484051230805223e-14,3.945763647864335e-15,6.11394378387595e-18,4.629681360501792e-11,8.629206311290005e-20,7.861284384862224e-43,1.3862622529926816e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1432,656,0657,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.314404421926814e-18,0.10122387856245041,1.2325624254572176e-07,5.5655813291366485e-09,0.8987738490104675,0.0,5.767966513303691e-07,1.0344076977983648e-37,1.8484051230805223e-14,3.945763647864335e-15,6.11394378387595e-18,4.629681360501792e-11,8.629206311290005e-20,7.861284384862224e-43,1.3862622529926816e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1433,656,0657,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.314404421926814e-18,0.10122387856245041,1.2325624254572176e-07,5.5655813291366485e-09,0.8987738490104675,0.0,5.767966513303691e-07,1.0344076977983648e-37,1.8484051230805223e-14,3.945763647864335e-15,6.11394378387595e-18,4.629681360501792e-11,8.629206311290005e-20,7.861284384862224e-43,1.3862622529926816e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1434,657,0658,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.637021273368351e-23,0.00025765984901227057,4.878566084096092e-13,2.445877944623476e-10,0.9996606111526489,8.605373869418702e-42,8.095327211776748e-05,7.970907627414723e-37,1.5678588324006572e-15,2.3832088646286165e-12,2.12037492988373e-18,9.858325961120684e-12,2.292719347233023e-15,4.88333481132181e-27,4.237346931668107e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1435,657,0658,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.637021273368351e-23,0.00025765984901227057,4.878566084096092e-13,2.445877944623476e-10,0.9996606111526489,8.605373869418702e-42,8.095327211776748e-05,7.970907627414723e-37,1.5678588324006572e-15,2.3832088646286165e-12,2.12037492988373e-18,9.858325961120684e-12,2.292719347233023e-15,4.88333481132181e-27,4.237346931668107e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1436,657,0658,1,girder,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.637021273368351e-23,0.00025765984901227057,4.878566084096092e-13,2.445877944623476e-10,0.9996606111526489,8.605373869418702e-42,8.095327211776748e-05,7.970907627414723e-37,1.5678588324006572e-15,2.3832088646286165e-12,2.12037492988373e-18,9.858325961120684e-12,2.292719347233023e-15,4.88333481132181e-27,4.237346931668107e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
